  30: This is info message
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'thead', 51, 12)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'tbody', 53, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 54, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 55, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 55, 71)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 56, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 56, 42)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 56, 49)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'type', 56, 63)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 57, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 58, 12)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'varname', 59, 36)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'varname', 59, 60)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 60, 13)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'entry', 60, 21)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'row', 61, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 63, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 64, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 64, 71)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 65, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 65, 45)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 65, 52)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'type', 65, 62)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'link', 66, 52)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 66, 64)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 66, 85)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'link', 66, 92)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 66, 106)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 66, 131)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 67, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 68, 12)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 70, 13)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'entry', 70, 21)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'row', 71, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 73, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 74, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 74, 71)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 75, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 75, 47)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 75, 54)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'type', 75, 64)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'link', 76, 57)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 76, 69)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 76, 95)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'link', 76, 102)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 76, 116)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 76, 133)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 77, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 78, 12)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 80, 13)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'entry', 80, 21)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'row', 81, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 83, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 84, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 84, 71)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 85, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 85, 45)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 85, 52)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'type', 85, 62)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'link', 86, 55)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 86, 67)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 86, 91)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'link', 86, 98)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 86, 112)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 86, 129)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 87, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 88, 12)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 90, 13)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'entry', 90, 21)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'row', 91, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 93, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 94, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 94, 71)
