  30: This is info message
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 39, 260)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'literal', 39, 300)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 39, 319)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 40, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 42, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'firstterm', 43, 56)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'firstterm', 43, 72)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'firstterm', 43, 84)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'firstterm', 43, 100)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'filename', 43, 137)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'filename', 43, 169)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'filename', 43, 180)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'filename', 43, 210)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'productname', 43, 245)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'productname', 43, 269)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'indexterm', 43, 316)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'primary', 43, 325)
